Player,Pos,MP,Min,PrgC,PrgP,xAG,xG,Gls,Gls-xG,PPA,Att 3rd,Name,Minutes played,Appearances,Tackles,Interceptions,Clearances,Ground duels won,Ground duels won %,Total duels won,Aerial duels won %,Aerial duels won,Total duels won %
Sean Longstaff,MF,14,662,4,36,0.1,0.6,0,-0.6,1,100,Sean Longstaff,675,14,27,5,4,31,55.36,38,50.0,7,54.29
Saša Lukić,MF,10,787,13,39,0.4,0.0,0,0.0,5,83,Saša Lukić,791,10,22,13,8,35,47.3,42,70.0,7,50.0
Massimo Luongo,MF,5,143,0,4,0.0,0.0,0,0.0,0,11,Massimo Luongo,155,5,5,2,2,7,58.33,8,100.0,1,61.54
Alexis Mac Allister,MF,14,986,13,61,1.4,0.6,0,-0.6,13,188,Alexis Mac Allister,988,14,39,4,10,57,47.5,65,44.44,8,47.1
James Maddison,MF,15,949,22,83,2.5,3.8,5,1.2000000000000002,21,350,James Maddison,965,15,16,8,14,68,54.4,73,50.0,5,54.07
Edmond-Paris Maghoma,MF,2,28,0,3,0.0,0.0,0,0.0,0,2,Edmond-Paris Maghoma,27,2,0,1,0,1,50.0,1,0.0,0,50.0
Kobbie Mainoo,MF,9,740,10,36,0.8,0.2,0,-0.2,4,106,Kobbie Mainoo,744,9,17,15,2,46,52.87,55,45.0,9,51.4
Orel Mangala,MF,11,586,3,21,0.5,0.4,1,0.6,4,82,Orel Mangala,586,11,11,13,5,30,54.55,32,28.57,2,51.61
Pape Matar Sarr,MF,15,764,11,44,1.2,1.2,0,-1.2,5,152,Pape Matar Sarr,762,15,24,12,10,45,52.94,59,53.85,14,53.15
John McGinn,"MF,FW",13,887,14,41,2.0,1.8,0,-1.8,13,144,John McGinn,901,13,11,3,3,47,55.95,54,53.85,7,55.67
Dwight McNeil,"MF,FW",13,1140,31,60,3.5,0.9,3,2.1,32,305,Dwight McNeil,1143,13,10,5,1,43,43.88,46,17.65,3,40.0
Scott McTominay,MF,2,19,0,1,0.0,0.1,0,-0.1,0,3,Scott McTominay,22,2,0,0,1,0,0.0,1,100.0,1,25.0
Mikel Merino,MF,8,407,2,21,0.5,1.1,1,-0.1,8,69,Mikel Merino,405,8,14,8,6,21,43.75,35,56.0,14,47.95
James Milner,MF,3,169,1,10,0.2,0.2,0,-0.2,1,31,James Milner,172,3,5,2,2,7,70.0,7,0.0,0,63.64
